email_text,label
Welcome to our platform! Thank you for signing up. Please complete your profile to get started. Contact support if you have any questions.,0
Your crypto wallet needs verification! Secure your funds: https://wallet-verify.com. Unverified wallets will be suspended.,1
Your package cannot be delivered. Please update your shipping address: https://fedex-delivery-update.com. Your package will be returned if not updated.,1
"Subject: Team Meeting Tomorrow Hi Team, Just a reminder about our meeting tomorrow at 10 AM in Conference Room B. Please come prepared with your weekly updates. Best regards, John",0
"You're invited to a meeting. Date: Friday, 3 PM. Location: Zoom link in calendar. Please RSVP by Wednesday.",0
Reminder: Cybersecurity Conference starts tomorrow at 9 AM. Your ticket QR code is attached. We look forward to seeing you!,0
"Amazon Security Alert! A new device logged into your account. Verify your identity: https://amazon-verify-now.com. If not verified within 12 hours, your account will be locked.",1
URGENT: Job Offer - Work from home! Earn $5000/week. Click here to apply: http://bit.ly/work-from-home. Limited positions available!,1
IRS - Final Notice! You have unpaid taxes. Pay immediately to avoid legal action. Click here: https://irs-gov-tax.com/payment. Your SSN has been flagged.,1
Reminder: Cybersecurity Conference starts tomorrow at 9 AM. Your ticket QR code is attached. We look forward to seeing you!,0
Your crypto wallet needs verification! Secure your funds: https://wallet-verify.com. Unverified wallets will be suspended.,1
"CONGRATULATIONS! You have won $1,000,000 in our online lottery! Click here to claim your prize: https://tinyurl.com/claim-prize. Hurry! This offer expires in 24 hours.",1
"URGENT: Your Bank Account Has Been Suspended! Dear Customer, Your account has been temporarily suspended due to unusual activity. Please verify your account immediately at https://fake-bank.com/verify or your account will be closed within 24 hours.",1
"Amazon Security Alert! A new device logged into your account. Verify your identity: https://amazon-verify-now.com. If not verified within 12 hours, your account will be locked.",1
Subject: Weekly Newsletter Hello! Here's our weekly newsletter with updates. Check out our new blog post about cybersecurity best practices. Unsubscribe link at bottom.,0
"Amazon Security Alert! A new device logged into your account. Verify your identity: https://amazon-verify-now.com. If not verified within 12 hours, your account will be locked.",1
Team Lunch! Join us for lunch on Friday at 12:30 PM at The Italian Place. Please let me know if you can make it.,0
Reminder: Cybersecurity Conference starts tomorrow at 9 AM. Your ticket QR code is attached. We look forward to seeing you!,0
Important Security Update: We've released a new security patch. Please update your app to the latest version. Visit our official website for details.,0
